date,value_x,value_y
4/14/2010,85.84,85.84
4/15/2010,85.758,85.758
4/16/2010,83.812,83.812
4/19/2010,82.458,82.458
4/20/2010,83.77,83.77
4/21/2010,83.68,83.68
4/22/2010,83.7,83.7
4/23/2010,85.12,85.12
4/26/2010,84.2,84.2
4/27/2010,82.44,82.44
4/28/2010,83.22,83.22
4/29/2010,85.17,85.17
4/30/2010,86.15,86.15
5/3/2010,86.19,86.19
5/4/2010,82.74,82.74
5/5/2010,79.97,79.97
5/6/2010,77.11,77.11
5/7/2010,75.11,75.11
5/10/2010,76.8,76.8
5/11/2010,76.37,76.37
5/12/2010,75.65,75.65
5/13/2010,74.4,74.4
5/14/2010,71.61,71.61
5/17/2010,70.708,70.708
5/18/2010,70.726,70.726
5/19/2010,71.436,71.436
5/20/2010,70.242,70.242
5/21/2010,70.04,70.04
5/24/2010,70.21,70.21
5/25/2010,68.75,68.75
5/26/2010,71.51,71.51
5/27/2010,74.55,74.55
5/28/2010,73.97,73.97
6/1/2010,72.58,72.58
6/2/2010,72.86,72.86
6/3/2010,74.61,74.61
6/4/2010,71.51,71.51
6/7/2010,71.44,71.44
6/8/2010,71.99,71.99
6/9/2010,74.38,74.38
6/10/2010,75.48,75.48
6/11/2010,73.78,73.78
6/14/2010,75.12,75.12
6/15/2010,76.94,76.94
6/16/2010,77.67,77.67
6/17/2010,77.04,77.04
6/18/2010,77.612,77.612
6/21/2010,78.294,78.294
6/22/2010,77.722,77.722
6/23/2010,76.35,76.35
6/24/2010,76.51,76.51
6/25/2010,78.86,78.86
6/28/2010,78.25,78.25
6/29/2010,75.94,75.94
6/30/2010,75.63,75.63
7/1/2010,72.95,72.95
7/2/2010,72.14,72.14
7/6/2010,71.98,71.98
7/7/2010,74.07,74.07
7/8/2010,75.44,75.44
7/9/2010,76.09,76.09
7/12/2010,74.95,74.95
7/13/2010,77.15,77.15
7/14/2010,77.04,77.04
7/15/2010,76.698,76.698
7/16/2010,76.158,76.158
7/19/2010,76.756,76.756
7/20/2010,77.552,77.552
7/21/2010,76.56,76.56
7/22/2010,79.3,79.3
7/23/2010,78.98,78.98
7/26/2010,78.98,78.98
7/27/2010,77.5,77.5
7/28/2010,76.99,76.99
7/29/2010,78.36,78.36
7/30/2010,78.95,78.95
8/2/2010,81.34,81.34
8/3/2010,82.55,82.55
8/4/2010,82.47,82.47
8/5/2010,82.01,82.01
8/6/2010,80.7,80.7
8/9/2010,81.48,81.48
8/10/2010,80.25,80.25
8/11/2010,78.02,78.02
8/12/2010,75.74,75.74
8/13/2010,75.39,75.39
8/16/2010,75.24,75.24
8/17/2010,75.848,75.848
8/18/2010,75.564,75.564
8/19/2010,74.634,74.634
8/20/2010,73.748,73.748
8/23/2010,73.1,73.1
8/24/2010,71.63,71.63
8/25/2010,72.52,72.52
8/26/2010,73.36,73.36
8/27/2010,75.17,75.17
8/30/2010,74.7,74.7
8/31/2010,71.92,71.92
9/1/2010,73.91,73.91
9/2/2010,75.02,75.02
9/3/2010,74.6,74.6
9/7/2010,74.09,74.09
9/8/2010,74.67,74.67
9/9/2010,74.25,74.25
9/10/2010,76.45,76.45
9/13/2010,77.19,77.19
9/14/2010,76.8,76.8
9/15/2010,76.02,76.02
9/16/2010,74.57,74.57
9/17/2010,73.912,73.912
9/20/2010,75.392,75.392
9/21/2010,74.39,74.39
9/22/2010,74.408,74.408
9/23/2010,75.18,75.18
9/24/2010,76.49,76.49
9/27/2010,76.52,76.52
9/28/2010,76.18,76.18
9/29/2010,77.86,77.86
9/30/2010,79.97,79.97
10/1/2010,81.58,81.58
10/4/2010,81.47,81.47
10/5/2010,82.82,82.82
10/6/2010,83.23,83.23
10/7/2010,81.67,81.67
10/8/2010,82.66,82.66
10/11/2010,82.21,82.21
10/12/2010,81.67,81.67
10/13/2010,83.01,83.01
10/14/2010,82.69,82.69
10/15/2010,81.386,81.386
10/18/2010,83.368,83.368
10/19/2010,79.892,79.892
10/20/2010,82.386,82.386
10/21/2010,80.56,80.56
10/22/2010,81.69,81.69
10/25/2010,82.52,82.52
10/26/2010,82.55,82.55
10/27/2010,81.94,81.94
10/28/2010,82.18,82.18
10/29/2010,81.43,81.43
11/1/2010,82.95,82.95
11/2/2010,83.9,83.9
11/3/2010,84.69,84.69
11/4/2010,86.49,86.49
11/5/2010,86.85,86.85
11/8/2010,87.06,87.06
11/9/2010,86.72,86.72
11/10/2010,87.81,87.81
