date,value,my,year
11/28/1994,1.174,11/1994,1994
12/05/1994,1.167,12/1994,1994
12/12/1994,1.156,12/1994,1994
12/19/1994,1.147,12/1994,1994
12/26/1994,1.136,12/1994,1994
01/02/1995,1.159,01/1995,1995
01/09/1995,1.164,01/1995,1995
01/16/1995,1.155,01/1995,1995
01/23/1995,1.165,01/1995,1995
01/30/1995,1.163,01/1995,1995
02/06/1995,1.157,02/1995,1995
02/13/1995,1.153,02/1995,1995
02/20/1995,1.148,02/1995,1995
02/27/1995,1.153,02/1995,1995
03/06/1995,1.157,03/1995,1995
03/13/1995,1.15,03/1995,1995
03/20/1995,1.149,03/1995,1995
03/27/1995,1.153,03/1995,1995
04/03/1995,1.167,04/1995,1995
04/10/1995,1.186,04/1995,1995
04/17/1995,1.201,04/1995,1995
04/24/1995,1.224,04/1995,1995
05/01/1995,1.234,05/1995,1995
05/08/1995,1.257,05/1995,1995
05/15/1995,1.267,05/1995,1995
05/22/1995,1.285,05/1995,1995
05/29/1995,1.288,05/1995,1995
06/05/1995,1.288,06/1995,1995
06/12/1995,1.286,06/1995,1995
06/19/1995,1.277,06/1995,1995
06/26/1995,1.27,06/1995,1995
07/03/1995,1.262,07/1995,1995
07/10/1995,1.252,07/1995,1995
07/17/1995,1.243,07/1995,1995
07/24/1995,1.234,07/1995,1995
07/31/1995,1.22,07/1995,1995
08/07/1995,1.216,08/1995,1995
08/14/1995,1.214,08/1995,1995
08/21/1995,1.215,08/1995,1995
08/28/1995,1.206,08/1995,1995
09/04/1995,1.202,09/1995,1995
09/11/1995,1.201,09/1995,1995
09/18/1995,1.2,09/1995,1995
09/25/1995,1.197,09/1995,1995
10/02/1995,1.191,10/1995,1995
10/09/1995,1.182,10/1995,1995
10/16/1995,1.173,10/1995,1995
10/23/1995,1.163,10/1995,1995
10/30/1995,1.154,10/1995,1995
11/06/1995,1.151,11/1995,1995
11/13/1995,1.149,11/1995,1995
11/20/1995,1.146,11/1995,1995
11/27/1995,1.146,11/1995,1995
12/04/1995,1.147,12/1995,1995
12/11/1995,1.148,12/1995,1995
12/18/1995,1.161,12/1995,1995
12/25/1995,1.163,12/1995,1995
01/01/1996,1.164,01/1996,1996
01/08/1996,1.174,01/1996,1996
01/15/1996,1.18,01/1996,1996
01/22/1996,1.173,01/1996,1996
01/29/1996,1.168,01/1996,1996
02/05/1996,1.164,02/1996,1996
02/12/1996,1.161,02/1996,1996
02/19/1996,1.169,02/1996,1996
02/26/1996,1.189,02/1996,1996
03/04/1996,1.205,03/1996,1996
03/11/1996,1.206,03/1996,1996
03/18/1996,1.216,03/1996,1996
03/25/1996,1.244,03/1996,1996
04/01/1996,1.258,04/1996,1996
04/08/1996,1.282,04/1996,1996
04/15/1996,1.321,04/1996,1996
04/22/1996,1.333,04/1996,1996
04/29/1996,1.347,04/1996,1996
05/06/1996,1.349,05/1996,1996
05/13/1996,1.352,05/1996,1996
05/20/1996,1.359,05/1996,1996
05/27/1996,1.347,05/1996,1996
06/03/1996,1.342,06/1996,1996
06/10/1996,1.335,06/1996,1996
06/17/1996,1.329,06/1996,1996
06/24/1996,1.318,06/1996,1996
07/01/1996,1.307,07/1996,1996
07/08/1996,1.307,07/1996,1996
07/15/1996,1.304,07/1996,1996
07/22/1996,1.304,07/1996,1996
07/29/1996,1.297,07/1996,1996
08/05/1996,1.289,08/1996,1996
08/12/1996,1.284,08/1996,1996
08/19/1996,1.287,08/1996,1996
08/26/1996,1.288,08/1996,1996
09/02/1996,1.281,09/1996,1996
09/09/1996,1.287,09/1996,1996
09/16/1996,1.29,09/1996,1996
09/23/1996,1.29,09/1996,1996
09/30/1996,1.286,09/1996,1996
10/07/1996,1.279,10/1996,1996
10/14/1996,1.29,10/1996,1996
10/21/1996,1.292,10/1996,1996
10/28/1996,1.305,10/1996,1996
11/04/1996,1.312,11/1996,1996
11/11/1996,1.317,11/1996,1996
11/18/1996,1.326,11/1996,1996
11/25/1996,1.332,11/1996,1996
12/02/1996,1.33,12/1996,1996
12/09/1996,1.327,12/1996,1996
12/16/1996,1.322,12/1996,1996
12/23/1996,1.317,12/1996,1996
12/30/1996,1.313,12/1996,1996
01/06/1997,1.311,01/1997,1997
01/13/1997,1.326,01/1997,1997
01/20/1997,1.324,01/1997,1997
01/27/1997,1.321,01/1997,1997
02/03/1997,1.319,02/1997,1997
02/10/1997,1.315,02/1997,1997
02/17/1997,1.309,02/1997,1997
02/24/1997,1.307,02/1997,1997
03/03/1997,1.298,03/1997,1997
03/10/1997,1.292,03/1997,1997
03/17/1997,1.283,03/1997,1997
03/24/1997,1.285,03/1997,1997
03/31/1997,1.281,03/1997,1997
04/07/1997,1.282,04/1997,1997
04/14/1997,1.278,04/1997,1997
04/21/1997,1.278,04/1997,1997
04/28/1997,1.273,04/1997,1997
05/05/1997,1.269,05/1997,1997
05/12/1997,1.271,05/1997,1997
05/19/1997,1.28,05/1997,1997
05/26/1997,1.287,05/1997,1997
06/02/1997,1.29,06/1997,1997
06/09/1997,1.283,06/1997,1997
06/16/1997,1.274,06/1997,1997
06/23/1997,1.265,06/1997,1997
06/30/1997,1.259,06/1997,1997
07/07/1997,1.257,07/1997,1997
07/14/1997,1.254,07/1997,1997
07/21/1997,1.258,07/1997,1997
07/28/1997,1.252,07/1997,1997
08/04/1997,1.268,08/1997,1997
08/11/1997,1.302,08/1997,1997
08/18/1997,1.301,08/1997,1997
08/25/1997,1.314,08/1997,1997
09/01/1997,1.315,09/1997,1997
09/08/1997,1.313,09/1997,1997
09/15/1997,1.305,09/1997,1997
09/22/1997,1.294,09/1997,1997
09/29/1997,1.281,09/1997,1997
10/06/1997,1.283,10/1997,1997
10/13/1997,1.276,10/1997,1997
10/20/1997,1.268,10/1997,1997
10/27/1997,1.258,10/1997,1997
11/03/1997,1.251,11/1997,1997
11/10/1997,1.253,11/1997,1997
11/17/1997,1.244,11/1997,1997
11/24/1997,1.239,11/1997,1997
12/01/1997,1.23,12/1997,1997
12/08/1997,1.218,12/1997,1997
12/15/1997,1.208,12/1997,1997
12/22/1997,1.198,12/1997,1997
12/29/1997,1.189,12/1997,1997
01/05/1998,1.181,01/1998,1998
01/12/1998,1.174,01/1998,1998
01/19/1998,1.162,01/1998,1998
01/26/1998,1.146,01/1998,1998
02/02/1998,1.144,02/1998,1998
02/09/1998,1.138,02/1998,1998
02/16/1998,1.123,02/1998,1998
02/23/1998,1.128,02/1998,1998
03/02/1998,1.117,03/1998,1998
03/09/1998,1.11,03/1998,1998
03/16/1998,1.1,03/1998,1998
03/23/1998,1.09,03/1998,1998
03/30/1998,1.117,03/1998,1998
04/06/1998,1.114,04/1998,1998
04/13/1998,1.111,04/1998,1998
04/20/1998,1.114,04/1998,1998
04/27/1998,1.123,04/1998,1998
05/04/1998,1.131,05/1998,1998
05/11/1998,1.144,05/1998,1998
05/18/1998,1.137,05/1998,1998
05/25/1998,1.138,05/1998,1998
06/01/1998,1.132,06/1998,1998
06/08/1998,1.142,06/1998,1998
06/15/1998,1.134,06/1998,1998
06/22/1998,1.127,06/1998,1998
06/29/1998,1.128,06/1998,1998
07/06/1998,1.127,07/1998,1998
07/13/1998,1.123,07/1998,1998
07/20/1998,1.128,07/1998,1998
07/27/1998,1.118,07/1998,1998
08/03/1998,1.109,08/1998,1998
08/10/1998,1.102,08/1998,1998
08/17/1998,1.097,08/1998,1998
08/24/1998,1.09,08/1998,1998
08/31/1998,1.085,08/1998,1998
09/07/1998,1.079,09/1998,1998
09/14/1998,1.075,09/1998,1998
09/21/1998,1.086,09/1998,1998
09/28/1998,1.085,09/1998,1998
10/05/1998,1.093,10/1998,1998
10/12/1998,1.1,10/1998,1998
10/19/1998,1.095,10/1998,1998
10/26/1998,1.089,10/1998,1998
11/02/1998,1.086,11/1998,1998
11/09/1998,1.083,11/1998,1998
11/16/1998,1.073,11/1998,1998
11/23/1998,1.065,11/1998,1998
11/30/1998,1.048,11/1998,1998
12/07/1998,1.027,12/1998,1998
12/14/1998,1.016,12/1998,1998
12/21/1998,1.014,12/1998,1998
12/28/1998,1.008,12/1998,1998
01/04/1999,1.006,01/1999,1999
01/11/1999,1.011,01/1999,1999
01/18/1999,1.012,01/1999,1999
01/25/1999,1.006,01/1999,1999
02/01/1999,1.002,02/1999,1999
02/08/1999,0.999,02/1999,1999
02/15/1999,0.99,02/1999,1999
02/22/1999,0.979,02/1999,1999
03/01/1999,0.987,03/1999,1999
03/08/1999,0.995,03/1999,1999
03/15/1999,1.048,03/1999,1999
03/22/1999,1.086,03/1999,1999
03/29/1999,1.141,03/1999,1999
04/05/1999,1.172,04/1999,1999
04/12/1999,1.193,04/1999,1999
04/19/1999,1.19,04/1999,1999
04/26/1999,1.187,04/1999,1999
05/03/1999,1.194,05/1999,1999
05/10/1999,1.201,05/1999,1999
05/17/1999,1.203,05/1999,1999
05/24/1999,1.191,05/1999,1999
05/31/1999,1.18,05/1999,1999
06/07/1999,1.184,06/1999,1999
06/14/1999,1.178,06/1999,1999
06/21/1999,1.195,06/1999,1999
06/28/1999,1.185,06/1999,1999
07/05/1999,1.2,07/1999,1999
07/12/1999,1.21,07/1999,1999
07/19/1999,1.238,07/1999,1999
07/26/1999,1.261,07/1999,1999
08/02/1999,1.262,08/1999,1999
08/09/1999,1.27,08/1999,1999
08/16/1999,1.3,08/1999,1999
08/23/1999,1.301,08/1999,1999
08/30/1999,1.302,08/1999,1999
09/06/1999,1.311,09/1999,1999
09/13/1999,1.325,09/1999,1999
09/20/1999,1.345,09/1999,1999
09/27/1999,1.342,09/1999,1999
10/04/1999,1.335,10/1999,1999
10/11/1999,1.327,10/1999,1999
10/18/1999,1.314,10/1999,1999
10/25/1999,1.319,10/1999,1999
11/01/1999,1.312,11/1999,1999
11/08/1999,1.314,11/1999,1999
11/15/1999,1.334,11/1999,1999
11/22/1999,1.353,11/1999,1999
11/29/1999,1.357,11/1999,1999
12/06/1999,1.353,12/1999,1999
12/13/1999,1.356,12/1999,1999
12/20/1999,1.351,12/1999,1999
12/27/1999,1.358,12/1999,1999
01/03/2000,1.353,01/2000,2000
01/10/2000,1.345,01/2000,2000
01/17/2000,1.362,01/2000,2000
01/24/2000,1.397,01/2000,2000
01/31/2000,1.398,01/2000,2000
02/07/2000,1.406,02/2000,2000
02/14/2000,1.438,02/2000,2000
02/21/2000,1.487,02/2000,2000
02/28/2000,1.499,02/2000,2000
03/06/2000,1.579,03/2000,2000
03/13/2000,1.6,03/2000,2000
03/20/2000,1.597,03/2000,2000
03/27/2000,1.576,03/2000,2000
04/03/2000,1.572,04/2000,2000
04/10/2000,1.541,04/2000,2000
04/17/2000,1.508,04/2000,2000
