my,year,value_x,value_y,crisis,exch_usd
01/2011,2011,89.66509999999998,3.1643999999999997,0,76.0563
01/2011,2011,89.66509999999998,3.1643999999999997,0,95.272
01/2011,2011,89.66509999999998,3.1643999999999997,0,4.302
01/2011,2011,89.66509999999998,3.1643999999999997,0,0.984639622
01/2011,2011,89.66509999999998,3.1643999999999997,1,0.77
01/2011,2011,89.66509999999998,3.1643999999999997,1,0.77
01/2011,2011,89.66509999999998,3.1643999999999997,0,6.91
01/2011,2011,89.66509999999998,3.1643999999999997,0,1.8588
01/2011,2011,89.66509999999998,3.1643999999999997,0,1.0193
01/2011,2011,89.66509999999998,3.1643999999999997,0,506.9611253
01/2011,2011,89.66509999999998,3.1643999999999997,0,519.25
01/2011,2011,89.66509999999998,3.1643999999999997,0,6.2939
01/2011,2011,89.66509999999998,3.1643999999999997,0,1936
01/2011,2011,89.66509999999998,3.1643999999999997,0,503.9885
01/2011,2011,89.66509999999998,3.1643999999999997,0,0
01/2011,2011,89.66509999999998,3.1643999999999997,1,5.7456
01/2011,2011,89.66509999999998,3.1643999999999997,0,38.7915
01/2011,2011,89.66509999999998,3.1643999999999997,0,25000
01/2011,2011,89.66509999999998,3.1643999999999997,0,6.0169
01/2011,2011,89.66509999999998,3.1643999999999997,0,8.7475
01/2011,2011,89.66509999999998,3.1643999999999997,0,0.77
01/2011,2011,89.66509999999998,3.1643999999999997,1,0.7727
01/2011,2011,89.66509999999998,3.1643999999999997,0,0.77
01/2011,2011,89.66509999999998,3.1643999999999997,0,1.551
01/2011,2011,89.66509999999998,3.1643999999999997,1,0.77
01/2011,2011,89.66509999999998,3.1643999999999997,0,7.80661
01/2011,2011,89.66509999999998,3.1643999999999997,0,19.05
01/2011,2011,89.66509999999998,3.1643999999999997,1,240.68
01/2011,2011,89.66509999999998,3.1643999999999997,1,122.71
01/2011,2011,89.66509999999998,3.1643999999999997,0,53.26
01/2011,2011,89.66509999999998,3.1643999999999997,0,9068
01/2011,2011,89.66509999999998,3.1643999999999997,1,0.77
01/2011,2011,89.66509999999998,3.1643999999999997,0,77.72
01/2011,2011,89.66509999999998,3.1643999999999997,0,85.0681
01/2011,2011,89.66509999999998,3.1643999999999997,0,1151.8
01/2011,2011,89.66509999999998,3.1643999999999997,0,3.177
01/2011,2011,89.66509999999998,3.1643999999999997,0,29.33
01/2011,2011,89.66509999999998,3.1643999999999997,0,13.9904
01/2011,2011,89.66509999999998,3.1643999999999997,0,8.5772
01/2011,2011,89.66509999999998,3.1643999999999997,0,5.6152
01/2011,2011,89.66509999999998,3.1643999999999997,1,0.77
01/2011,2011,89.66509999999998,3.1643999999999997,0,1.296512382
01/2011,2011,89.66509999999998,3.1643999999999997,0,22.9767
01/2011,2011,89.66509999999998,3.1643999999999997,1,158.267
01/2011,2011,89.66509999999998,3.1643999999999997,0,5.99
01/2011,2011,89.66509999999998,3.1643999999999997,0,1
01/2011,2011,89.66509999999998,3.1643999999999997,0,4439.905
01/2011,2011,89.66509999999998,3.1643999999999997,0,2.696
01/2011,2011,89.66509999999998,3.1643999999999997,0,43.928
01/2011,2011,89.66509999999998,3.1643999999999997,0,3.4174
01/2011,2011,89.66509999999998,3.1643999999999997,1,0.77
01/2011,2011,89.66509999999998,3.1643999999999997,1,32.1961
01/2011,2011,89.66509999999998,3.1643999999999997,0,1.3007
01/2011,2011,89.66509999999998,3.1643999999999997,0,8.1429
01/2011,2011,89.66509999999998,3.1643999999999997,1,0.77
01/2011,2011,89.66509999999998,3.1643999999999997,0,113.9013
01/2011,2011,89.66509999999998,3.1643999999999997,0,0.77
01/2011,2011,89.66509999999998,3.1643999999999997,0,30.27
01/2011,2011,89.66509999999998,3.1643999999999997,0,31.6912
01/2011,2011,89.66509999999998,3.1643999999999997,0,1.4993
01/2011,2011,89.66509999999998,3.1643999999999997,0,1.674954552
01/2011,2011,89.66509999999998,3.1643999999999997,1,0.624140836
01/2011,2011,89.66509999999998,3.1643999999999997,0,1.5535
01/2011,2011,89.66509999999998,3.1643999999999997,0,19.898
01/2011,2011,89.66509999999998,3.1643999999999997,0,4.29465
01/2011,2011,89.66509999999998,3.1643999999999997,0,5.11398
01/2011,2011,89.66509999999998,3.1643999999999997,0,361.9
