date,value,my,year
2010-04-09,84.92,04/2010,2010
2010-04-12,84.34,04/2010,2010
2010-04-13,84.05,04/2010,2010
2010-04-14,85.84,04/2010,2010
2010-04-15,85.758,04/2010,2010
2010-04-16,83.812,04/2010,2010
2010-04-19,82.458,04/2010,2010
2010-04-20,83.77,04/2010,2010
2010-04-21,83.68,04/2010,2010
2010-04-22,83.7,04/2010,2010
2010-04-23,85.12,04/2010,2010
2010-04-26,84.2,04/2010,2010
2010-04-27,82.44,04/2010,2010
2010-04-28,83.22,04/2010,2010
2010-04-29,85.17,04/2010,2010
2010-04-30,86.15,04/2010,2010
2010-05-03,86.19,05/2010,2010
2010-05-04,82.74,05/2010,2010
2010-05-05,79.97,05/2010,2010
2010-05-06,77.11,05/2010,2010
2010-05-07,75.11,05/2010,2010
2010-05-10,76.8,05/2010,2010
2010-05-11,76.37,05/2010,2010
2010-05-12,75.65,05/2010,2010
2010-05-13,74.4,05/2010,2010
2010-05-14,71.61,05/2010,2010
2010-05-17,70.708,05/2010,2010
2010-05-18,70.726,05/2010,2010
2010-05-19,71.436,05/2010,2010
2010-05-20,70.242,05/2010,2010
2010-05-21,70.04,05/2010,2010
2010-05-24,70.21,05/2010,2010
2010-05-25,68.75,05/2010,2010
2010-05-26,71.51,05/2010,2010
2010-05-27,74.55,05/2010,2010
2010-05-28,73.97,05/2010,2010
2010-06-01,72.58,06/2010,2010
2010-06-02,72.86,06/2010,2010
2010-06-03,74.61,06/2010,2010
2010-06-04,71.51,06/2010,2010
2010-06-07,71.44,06/2010,2010
2010-06-08,71.99,06/2010,2010
2010-06-09,74.38,06/2010,2010
2010-06-10,75.48,06/2010,2010
2010-06-11,73.78,06/2010,2010
2010-06-14,75.12,06/2010,2010
2010-06-15,76.94,06/2010,2010
2010-06-16,77.67,06/2010,2010
2010-06-17,77.04,06/2010,2010
2010-06-18,77.612,06/2010,2010
2010-06-21,78.294,06/2010,2010
2010-06-22,77.722,06/2010,2010
2010-06-23,76.35,06/2010,2010
2010-06-24,76.51,06/2010,2010
2010-06-25,78.86,06/2010,2010
2010-06-28,78.25,06/2010,2010
2010-06-29,75.94,06/2010,2010
2010-06-30,75.63,06/2010,2010
2010-07-01,72.95,07/2010,2010
2010-07-02,72.14,07/2010,2010
2010-07-06,71.98,07/2010,2010
2010-07-07,74.07,07/2010,2010
2010-07-08,75.44,07/2010,2010
2010-07-09,76.09,07/2010,2010
2010-07-12,74.95,07/2010,2010
2010-07-13,77.15,07/2010,2010
2010-07-14,77.04,07/2010,2010
2010-07-15,76.698,07/2010,2010
2010-07-16,76.158,07/2010,2010
2010-07-19,76.756,07/2010,2010
2010-07-20,77.552,07/2010,2010
2010-07-21,76.56,07/2010,2010
2010-07-22,79.3,07/2010,2010
2010-07-23,78.98,07/2010,2010
2010-07-26,78.98,07/2010,2010
2010-07-27,77.5,07/2010,2010
2010-07-28,76.99,07/2010,2010
2010-07-29,78.36,07/2010,2010
2010-07-30,78.95,07/2010,2010
2010-08-02,81.34,08/2010,2010
2010-08-03,82.55,08/2010,2010
2010-08-04,82.47,08/2010,2010
2010-08-05,82.01,08/2010,2010
2010-08-06,80.7,08/2010,2010
2010-08-09,81.48,08/2010,2010
2010-08-10,80.25,08/2010,2010
2010-08-11,78.02,08/2010,2010
2010-08-12,75.74,08/2010,2010
2010-08-13,75.39,08/2010,2010
2010-08-16,75.24,08/2010,2010
2010-08-17,75.848,08/2010,2010
2010-08-18,75.564,08/2010,2010
2010-08-19,74.634,08/2010,2010
2010-08-20,73.748,08/2010,2010
2010-08-23,73.1,08/2010,2010
2010-08-24,71.63,08/2010,2010
2010-08-25,72.52,08/2010,2010
2010-08-26,73.36,08/2010,2010
2010-08-27,75.17,08/2010,2010
2010-08-30,74.7,08/2010,2010
2010-08-31,71.92,08/2010,2010
2010-09-01,73.91,09/2010,2010
2010-09-02,75.02,09/2010,2010
2010-09-03,74.6,09/2010,2010
2010-09-07,74.09,09/2010,2010
2010-09-08,74.67,09/2010,2010
2010-09-09,74.25,09/2010,2010
2010-09-10,76.45,09/2010,2010
2010-09-13,77.19,09/2010,2010
2010-09-14,76.8,09/2010,2010
2010-09-15,76.02,09/2010,2010
2010-09-16,74.57,09/2010,2010
2010-09-17,73.912,09/2010,2010
2010-09-20,75.392,09/2010,2010
2010-09-21,74.39,09/2010,2010
2010-09-22,74.408,09/2010,2010
2010-09-23,75.18,09/2010,2010
2010-09-24,76.49,09/2010,2010
2010-09-27,76.52,09/2010,2010
2010-09-28,76.18,09/2010,2010
2010-09-29,77.86,09/2010,2010
2010-09-30,79.97,09/2010,2010
2010-10-01,81.58,10/2010,2010
2010-10-04,81.47,10/2010,2010
2010-10-05,82.82,10/2010,2010
2010-10-06,83.23,10/2010,2010
2010-10-07,81.67,10/2010,2010
2010-10-08,82.66,10/2010,2010
2010-10-11,82.21,10/2010,2010
2010-10-12,81.67,10/2010,2010
2010-10-13,83.01,10/2010,2010
2010-10-14,82.69,10/2010,2010
2010-10-15,81.386,10/2010,2010
2010-10-18,83.368,10/2010,2010
2010-10-19,79.892,10/2010,2010
2010-10-20,82.386,10/2010,2010
2010-10-21,80.56,10/2010,2010
2010-10-22,81.69,10/2010,2010
2010-10-25,82.52,10/2010,2010
2010-10-26,82.55,10/2010,2010
2010-10-27,81.94,10/2010,2010
2010-10-28,82.18,10/2010,2010
2010-10-29,81.43,10/2010,2010
2010-11-01,82.95,11/2010,2010
2010-11-02,83.9,11/2010,2010
2010-11-03,84.69,11/2010,2010
2010-11-04,86.49,11/2010,2010
2010-11-05,86.85,11/2010,2010
2010-11-08,87.06,11/2010,2010
2010-11-09,86.72,11/2010,2010
2010-11-10,87.81,11/2010,2010
2010-11-11,87.81,11/2010,2010
2010-11-12,84.88,11/2010,2010
2010-11-15,84.86,11/2010,2010
2010-11-16,82.44,11/2010,2010
2010-11-17,80.68,11/2010,2010
2010-11-18,82.192,11/2010,2010
2010-11-19,81.886,11/2010,2010
2010-11-22,81.74,11/2010,2010
2010-11-23,81.25,11/2010,2010
2010-11-24,83.86,11/2010,2010
2010-11-26,83.76,11/2010,2010
2010-11-29,85.73,11/2010,2010
2010-11-30,84.11,11/2010,2010
2010-12-01,86.75,12/2010,2010
2010-12-02,88.0,12/2010,2010
2010-12-03,89.19,12/2010,2010
2010-12-06,89.38,12/2010,2010
2010-12-07,88.69,12/2010,2010
2010-12-08,88.28,12/2010,2010
2010-12-09,88.37,12/2010,2010
2010-12-10,87.79,12/2010,2010
2010-12-13,88.61,12/2010,2010
2010-12-14,88.28,12/2010,2010
2010-12-15,88.62,12/2010,2010
2010-12-16,87.84,12/2010,2010
2010-12-17,88.252,12/2010,2010
2010-12-20,89.146,12/2010,2010
2010-12-21,89.596,12/2010,2010
2010-12-22,90.48,12/2010,2010
2010-12-23,91.51,12/2010,2010
2010-12-27,91.0,12/2010,2010
2010-12-28,91.49,12/2010,2010
2010-12-29,91.12,12/2010,2010
2010-12-30,89.84,12/2010,2010
2010-12-31,91.38,12/2010,2010
2011-01-03,91.55,01/2011,2011
2011-01-04,89.38,01/2011,2011
2011-01-05,90.3,01/2011,2011
2011-01-06,88.38,01/2011,2011
2011-01-07,88.03,01/2011,2011
2011-01-10,89.25,01/2011,2011
2011-01-11,91.11,01/2011,2011
2011-01-12,91.86,01/2011,2011
2011-01-13,91.4,01/2011,2011
2011-01-14,91.746,01/2011,2011
2011-01-18,91.752,01/2011,2011
2011-01-19,91.43,01/2011,2011
2011-01-20,89.444,01/2011,2011
2011-01-21,89.11,01/2011,2011
2011-01-24,87.87,01/2011,2011
2011-01-25,86.19,01/2011,2011
2011-01-26,87.33,01/2011,2011
2011-01-27,85.64,01/2011,2011
2011-01-28,89.34,01/2011,2011
2011-01-31,92.19,01/2011,2011
2011-02-01,90.77,02/2011,2011
2011-02-02,90.86,02/2011,2011
2011-02-03,90.54,02/2011,2011
2011-02-04,89.03,02/2011,2011
2011-02-07,87.48,02/2011,2011
2011-02-08,86.94,02/2011,2011
2011-02-09,86.71,02/2011,2011
2011-02-10,86.73,02/2011,2011
2011-02-11,85.58,02/2011,2011
2011-02-14,84.81,02/2011,2011
2011-02-15,84.32,02/2011,2011
2011-02-16,85.56,02/2011,2011
2011-02-17,87.352,02/2011,2011
2011-02-18,88.306,02/2011,2011
2011-02-22,95.05,02/2011,2011
2011-02-23,98.1,02/2011,2011
2011-02-24,97.28,02/2011,2011
2011-02-25,97.88,02/2011,2011
2011-02-28,96.97,02/2011,2011
