my,week,value_x,value_y
Jan-11,Week1,89.528,3.1644
Jan-11,Week2,91.0732,3.1644
Jan-11,Week3,90.434,3.1644
Jan-11,Week4,88.09333333,3.1644
Jan-12,Week1,102.3875,3.4476
Jan-12,Week2,100.444,3.4476
Jan-12,Week3,100.059,3.4476
Jan-12,Week4,99.20714286,3.4476
Jan-13,Week1,93.08,3.39925
Jan-13,Week2,93.554,3.39925
Jan-13,Week3,94.7815,3.39925
Jan-13,Week4,96.6365,3.39925
Jan-14,Week1,94.125,3.42225
Jan-14,Week2,92.22,3.42225
Jan-14,Week3,94.4245,3.42225
Jan-14,Week4,97.1125,3.42225
Jan-15,Week1,49.8275,2.2475
Jan-15,Week2,47.5372,2.2475
Jan-15,Week3,47.4075,2.2475
Jan-15,Week4,45.78571429,2.2475
Jan-16,Week1,34.9925,2.08375
Jan-16,Week2,31.3744,2.08375
Jan-16,Week3,29.1135,2.08375
Jan-16,Week4,32.18666667,2.08375
Jan-17,Week1,53.335,2.5308
Jan-17,Week2,52.082,2.5308
Jan-17,Week3,52.23,2.5308
Jan-17,Week4,53.01,2.5308
Jan-18,Week1,61.3625,2.7388
Jan-18,Week2,63.272,2.7388
Jan-18,Week3,63.7375,2.7388
Jan-18,Week4,65.00925,2.7388
Jan-19,Week1,47.5275,2.498
Jan-19,Week2,51.366,2.498
Jan-19,Week3,52.6525,2.498
Jan-19,Week4,53.21025,2.498
Jan-20,Week1,62.55,2.80075
Jan-20,Week2,58.904,2.80075
Jan-20,Week3,58.319,2.80075
Jan-20,Week4,53.77125,2.80075
Feb-11,Week1,89.4775,3.2755
Feb-11,Week2,86.154,3.2755
Feb-11,Week3,86.3845,3.2755
Feb-11,Week4,97.056,3.2755
Feb-12,Week1,97.38,3.63925
Feb-12,Week2,99.774,3.63925
Feb-12,Week3,103.4835,3.63925
Feb-12,Week4,107.6766667,3.63925
Feb-13,Week1,96.315,3.73475
Feb-13,Week2,96.9396,3.73475
Feb-13,Week3,95.228,3.73475
Feb-13,Week4,92.736,3.73475
Feb-14,Week1,97.744,3.471
Feb-14,Week2,100.1972,3.471
Feb-14,Week3,102.5775,3.471
Feb-14,Week4,102.446,3.471
Feb-15,Week1,50.648,2.333
Feb-15,Week2,51.142,2.333
Feb-15,Week3,52.093,2.333
Feb-15,Week4,49.53,2.333
Feb-16,Week1,31.1925,1.9242
Feb-16,Week2,28.146,1.9242
Feb-16,Week3,30.676,1.9242
Feb-16,Week4,32.77133333,1.9242
Feb-17,Week1,53.1375,2.48
Feb-17,Week2,53.066,2.48
Feb-17,Week3,53.657,2.48
Feb-17,Week4,54.018,2.48
Feb-18,Week1,63.695,2.76075
Feb-18,Week2,59.8824,2.76075
Feb-18,Week3,61.5915,2.76075
Feb-18,Week4,62.976,2.76075
Feb-19,Week1,53.7175,2.531
Feb-19,Week2,53.3232,2.531
Feb-19,Week3,56.531,2.531
Feb-19,Week4,56.48,2.531
Feb-20,Week1,50.348,2.6955
Feb-20,Week2,50.8408,2.6955
Feb-20,Week3,53.199,2.6955
Feb-20,Week4,48.382,2.6955
Mar-11,Week1,103.5,3.6165
Mar-11,Week2,102.89,3.6165
Mar-11,Week3,100.1884,3.6165
Mar-11,Week4,105.16075,3.6165
Mar-12,Week1,106.07,3.88075
Mar-12,Week2,106.492,3.88075
Mar-12,Week3,106.8212,3.88075
Mar-12,Week4,105.3985714,3.88075
Mar-13,Week1,90.7325,3.78425
Mar-13,Week2,92.42,3.78425
Mar-13,Week3,93.126,3.78425
Mar-13,Week4,95.734,3.78425
Mar-14,Week1,102.768,3.6276
Mar-14,Week2,99.246,3.6276
Mar-14,Week3,99.0952,3.6276
Mar-14,Week4,100.5966667,3.6276
Mar-15,Week1,50.402,2.5278
Mar-15,Week2,47.67,2.5278
Mar-15,Week3,44.8888,2.5278
Mar-15,Week4,48.67857143,2.5278
Mar-16,Week1,35.7625,2.1225
Mar-16,Week2,37.662,2.1225
Mar-16,Week3,39.51,2.1225
Mar-16,Week4,39.29,2.1225
Mar-17,Week1,53.07,2.497
Mar-17,Week2,48.834,2.497
Mar-17,Week3,48.6788,2.497
Mar-17,Week4,48.78375,2.497
Mar-18,Week1,61.8925,2.76025
Mar-18,Week2,61.038,2.76025
