Macrotrends Data Download,
,
U.S. Dollar Index - 43 Year Historical Chart,
,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
,
,
,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",
,
,
date, value
1/1/1973,107.616
2/1/1973,103.046
3/1/1973,100
4/1/1973,100.376
5/1/1973,99.263
6/1/1973,97.483
7/1/1973,94.995
8/1/1973,96.633
9/1/1973,95.849
10/1/1973,96.122
11/1/1973,97.984
12/1/1973,98.292
1/1/1974,99.687
2/1/1974,97.239
3/1/1974,95.777
4/1/1974,94.154
5/1/1974,93.659
6/1/1974,94.423
7/1/1974,94.562
8/1/1974,95.938
9/1/1974,96.492
10/1/1974,95.846
11/1/1974,95.147
12/1/1974,94.697
1/1/1975,93.975
2/1/1975,92.848
3/1/1975,92.289
4/1/1975,92.8
5/1/1975,92.394
6/1/1975,92.665
7/1/1975,95.062
8/1/1975,96.026
9/1/1975,96.557
10/1/1975,96.302
11/1/1975,96.155
12/1/1975,96.352
1/1/1976,95.42
2/1/1976,94.613
3/1/1976,94.505
4/1/1976,94.476
5/1/1976,94.547
6/1/1976,94.559
7/1/1976,94.105
8/1/1976,93.871
9/1/1976,94.378
10/1/1976,94.419
11/1/1976,94.79
12/1/1976,94.446
1/1/1977,93.719
2/1/1977,94.268
3/1/1977,94.278
4/1/1977,94.02
5/1/1977,93.803
6/1/1977,93.66
7/1/1977,92.742
8/1/1977,92.868
9/1/1977,92.708
10/1/1977,91.722
11/1/1977,91.109
12/1/1977,89.705
1/1/1978,89.069
2/1/1978,88.979
3/1/1978,88.556
4/1/1978,88.638
5/1/1978,89.624
6/1/1978,88.79
7/1/1978,86.908
8/1/1978,85.164
9/1/1978,85.619
10/1/1978,84.133
11/1/1978,85.925
12/1/1978,86.23
1/1/1979,86.239
2/1/1979,87.082
3/1/1979,87.28
4/1/1979,88.228
5/1/1979,89.27
6/1/1979,89.457
7/1/1979,87.811
8/1/1979,88.261
9/1/1979,88.291
10/1/1979,89.181
11/1/1979,90.29
12/1/1979,89.588
1/1/1980,88.874
2/1/1980,89.674
3/1/1980,92.483
4/1/1980,93.206
5/1/1980,90.264
6/1/1980,88.923
7/1/1980,88.042
8/1/1980,88.758
9/1/1980,88.136
10/1/1980,88.309
11/1/1980,89.753
12/1/1980,90.621
1/1/1981,89.747
2/1/1981,92.14
3/1/1981,92.302
4/1/1981,93.886
5/1/1981,96.383
6/1/1981,98.347
7/1/1981,100.453
8/1/1981,101.942
9/1/1981,99.947
10/1/1981,99.181
11/1/1981,97.46
12/1/1981,97.197
1/1/1982,98.191
2/1/1982,100.965
3/1/1982,103.216
4/1/1982,103.7
5/1/1982,102.522
6/1/1982,106.916
7/1/1982,108.478
8/1/1982,110.309
9/1/1982,110.839
10/1/1982,110.974
11/1/1982,110.041
12/1/1982,107.047
1/1/1983,106.255
2/1/1983,107.158
3/1/1983,107.724
4/1/1983,109.066
5/1/1983,109.292
6/1/1983,110.775
7/1/1983,111.495
8/1/1983,113.021
9/1/1983,113.237
10/1/1983,112.013
11/1/1983,112.923
12/1/1983,113.845
1/1/1984,114.606
2/1/1984,113.532
3/1/1984,112.448
4/1/1984,113.381
5/1/1984,115.4
6/1/1984,116.2
7/1/1984,119.251
8/1/1984,119.549
9/1/1984,122.188
10/1/1984,123.264
11/1/1984,121.718
12/1/1984,123.401
1/1/1985,124.761
2/1/1985,128.033
3/1/1985,128.437
4/1/1985,125.096
5/1/1985,125.848
6/1/1985,124.942
